dummy,笨蛋
hand-held computer,手提电脑
notebook,笔记本
web site,网站
harvester,收割机
thresher,脱粒机
printer,打印机
slot,狭槽
vending machine,自动售货机
sewing machine,缝纫机
joystick,操纵杆
switch,转换
hook,钩
car wheel,汽车轮
paddlewheel,轮桨
pinwheel,风车
potter's wheel,波特的车轮
gas pump,气体泵
carousel,旋转木马
swing,摆动
reel,卷轴
radiator,散热器
puck,冰球
hard disc,硬盘
sunglass,太阳镜
pick,挑选
car mirror,车镜
solar dish,碟式太阳能
remote control,远程控制
disk brake,盘式制动器
buckle,搭扣
hair slide,头发滑
knot,结
combination lock,组合锁
padlock,挂锁
nail,指甲
safety pin,安全销
screw,螺丝钉
muzzle,枪口
seat belt,座椅安全带
ski,滑雪
candle,蜡烛
jack-o'-lantern,南瓜灯笼
spotlight,聚光灯
torch,火炬
neck brace,颈托
pier,码头
tripod,三脚架
maypole,花柱
mousetrap,捕鼠器
spider web,蜘蛛网
trilobite,三叶虫
harvestman,收割
scorpion,蝎子,177.0,http://fitness.39.net/food/3070.html
black and gold garden spider,黑金色花园蜘蛛
barn spider,谷仓蜘蛛
garden spider,花园里的蜘蛛
black widow,黑寡妇
tarantula,狼蛛
wolf spider,狼蜘蛛
tick,打上钩
centipede,蜈蚣
isopod,等足目动物
Dungeness crab,珍宝蟹,86.0,http://fitness.39.net/food/10514.html
rock crab,岩蟹
fiddler crab,招潮蟹
king crab,帝王蟹,84.0,http://fitness.39.net/food/10521.html
American lobster,美洲龙虾
spiny lobster,龙虾,90.0,http://fitness.39.net/food/4194.html
crayfish,小龙虾,93.0,http://fitness.39.net/food/4199.html
hermit crab,寄居蟹
tiger beetle,虎甲虫
ladybug,瓢虫
ground beetle,土鳖虫
long-horned beetle,天牛
leaf beetle,叶甲
dung beetle,粪甲虫
rhinoceros beetle,犀甲虫
weevil,象甲
fly,飞
bee,蜜蜂
grasshopper,蚱蜢
cricket,板球
walking stick,手杖
cockroach,蟑螂
mantis,螳螂
cicada,蝉
leafhopper,叶蝉
lacewing,草蛉
dragonfly,蜻蜓
damselfly,豆娘
admiral,海军上将
ringlet,小环
monarch,君主
cabbage butterfly,菜粉蝶
sulphur butterfly,白蝴蝶
lycaenid,细纹
jellyfish,水母
sea anemone,海葵
brain coral,脑珊瑚
flatworm,扁虫
nematode,线虫
conch,海螺
snail,蜗牛
slug,塞
sea slug,海蛞蝓
chiton,石鳖
sea urchin,海胆
sea cucumber,海参
iron,铁
espresso maker,咖啡机
microwave,微波
Dutch oven,荷兰烤箱
rotisserie,烤肉店
toaster,烤面包机
waffle iron,松饼机
vacuum,真空
dishwasher,洗碗机
refrigerator,冰箱
washer,洗衣机
Crock Pot,瓦罐锅
frying pan,煎锅
wok,炒锅
caldron,釜
coffeepot,咖啡壶
teapot,茶壶
spatula,铲
altar,祭坛
triumphal arch,凯旋门
patio,院子
steel arch bridge,钢拱桥
suspension bridge,悬索桥
viaduct,高架桥
barn,谷仓
greenhouse,温室
palace,宫殿
monastery,修道院
library,图书馆
apiary,养蜂场
boathouse,船屋
church,教堂
mosque,清真寺
stupa,佛塔
planetarium,天文馆
restaurant,餐厅
cinema,电影院
home theater,家庭影院
lumbermill,锯木厂
coil,线圈
obelisk,方尖碑
totem pole,图腾柱
castle,城堡
prison,监狱
grocery store,杂货店
bakery,面包店
barbershop,理发店
bookshop,书店
butcher shop,肉店
confectionery,糕点糖果
shoe shop,鞋店
tobacco shop,烟草店
toyshop,玩具店
fountain,喷泉
cliff dwelling,崖居
yurt,蒙古包
dock,码头
brass,黄铜
megalith,巨石
bannister,班尼斯特
breakwater,防波堤
dam,水坝
chainlink fence,围栏
picket fence,栅栏
worm fence,蠕虫的篱笆
stone wall,石头墙
grille,格栅
sliding door,滑动门
turnstile,十字转门
mountain tent,登山帐
scoreboard,记分牌
honeycomb,蜂窝
plate rack,板架
pedestal,底座
beacon,信标
mashed potato,土豆泥,89.0,http://fitness.39.net/food/8739.html
bell pepper,甜椒,16.0,http://fitness.39.net/food/1886.html
head cabbage,结球甘蓝,12.0,http://fitness.39.net/food/2052.html
broccoli,西兰花,28.0,http://fitness.39.net/food/1996.html
cauliflower,菜花,23.0,http://fitness.39.net/food/1994.html
zucchini,西葫芦,16.0,http://fitness.39.net/food/1907.html
spaghetti squash,意大利面壁球
acorn squash,小青南瓜,23.0,http://fitness.39.net/food/1902.html
butternut squash,南瓜,23.0,http://fitness.39.net/food/1902.html
cucumber,黄瓜,16.0,http://fitness.39.net/food/1897.html
artichoke,朝鲜蓟,25.0,http://fitness.39.net/food/17015.html
cardoon,朝鲜蓟,25.0,http://fitness.39.net/food/17015.html
mushroom,蘑菇,22.0,http://fitness.39.net/food/2286.html
shower curtain,浴帘
jean,琼
carton,纸箱
handkerchief,手帕
sandal,凉鞋
ashcan,垃圾桶
safe,安全的
plate,盘子
necklace,项链
croquet ball,槌球
fur coat,毛皮大衣
thimble,顶针
pajama,睡衣
running shoe,跑步鞋
cocktail shaker,鸡尾酒调酒器
chest,胸部
manhole cover,窨井盖
modem,调制解调器
tub,桶
tray,托盘
balance beam,平衡梁
bagel,百吉饼,250.0,http://fitness.39.net/food/9297.html
prayer rug,祈祷毯
kimono,和服
hot pot,火锅
whiskey jug,威士忌的壶
knee pad,护膝
book jacket,护封
spindle,主轴
ski mask,滑雪面罩
beer bottle,啤酒瓶
crash helmet,头盔
bottlecap,瓶盖
tile roof,瓦屋顶
mask,面具
maillot,但
Petri dish,培养皿
football helmet,橄榄球头盔
bathing cap,游泳帽
teddy bear,泰迪熊
holster,皮套
pop bottle,波普瓶
photocopier,复印机
vestment,法衣
crossword puzzle,纵横字谜
golf ball,高尔夫球
trifle,琐事
suit,适合
water tower,水塔
feather boa,羽毛围巾
cloak,斗篷
red wine,红葡萄酒,74.0,http://fitness.39.net/food/7879.html
drumstick,鼓槌
shield,盾
Christmas stocking,圣诞袜
hoopskirt,有裙撑的裙子
menu,菜单
stage,阶段
bonnet,阀盖
meat loaf,瑞士肉包,244.0,http://fitness.39.net/cook/4982.html
baseball,棒球
face powder,脸上的粉
scabbard,剑鞘
sunscreen,防晒霜
beer glass,啤酒杯
hen-of-the-woods,树林中的母鸡
guacamole,鳄梨酱,884.0,http://fitness.39.net/food/14026.html
lampshade,灯罩
wool,羊毛
hay,干草
bow tie,领结
mailbag,邮包
water jug,水壶
bucket,水桶
dishrag,抹布
soup bowl,汤碗
eggnog,蛋奶酒,88.0,http://fitness.39.net/food/14564.html
mortar,砂浆
trench coat,风衣
paddle,桨
chain,链
swab,拭子
mixing bowl,搅拌碗
potpie,馅饼
wine bottle,酒瓶
shoji,商事
bulletproof vest,防弹背心
drilling platform,钻井平台
binder,粘合剂
cardigan,开衫
sweatshirt,运动衫
pot,锅
birdhouse,鸟舍
hamper,阻碍
ping-pong ball,乒乓球
pencil box,铅笔盒
pay-phone,付费电话
consomme,清汤
apron,围裙
punching bag,出气筒
backpack,背包
groom,新郎
bearskin,熊皮
pencil sharpener,卷笔刀
broom,扫帚
mosquito net,蚊帐
abaya,长袍
mortarboard,学位帽
poncho,雨披
crutch,拐杖
Polaroid camera,宝丽来相机
space bar,空格键
cup,杯子
racket,球拍
traffic light,交通灯
quill,羽毛笔
radio,收音机
dough,面团
cuirass,胸甲
military uniform,军装
lipstick,口红
shower cap,淋浴帽
monitor,班长
oscilloscope,示波器
mitten,中华绒螯蟹,103.0,http://fitness.39.net/food/4221.html
brassiere,胸罩
French loaf,法国面包,265.0,http://fitness.39.net/food/1221.html
vase,花瓶
milk can,牛奶瓶
rugby ball,橄榄球
paper towel,纸巾
earthstar,地星
envelope,信封
miniskirt,迷你裙
cowboy hat,牛仔帽
trolleybus,无轨电车
perfume,香水
bathtub,浴缸
hotdog,热狗,247.0,http://fitness.39.net/food/8758.html
coral fungus,珊瑚菌
bullet train,动车
pillow,枕头
toilet tissue,卫生纸
cassette,盒式录音带
carpenter's kit,木匠的工具箱
ladle,钢包
stinkhorn,鬼笔
lotion,洗剂
hair spray,头发喷雾
academic gown,学位袍
dome,圆顶
crate,机箱
wig,假发
burrito,玉米煎饼,238.0,http://fitness.39.net/food/8810.html
pill bottle,药瓶
chain mail,链甲
theater curtain,幕布
window shade,百叶窗
barrel,桶
washbasin,洗脸盆
ballpoint,圆珠笔
basketball,篮球
bath towel,浴巾
cowboy boot,牛仔靴
gown,长袍
window screen,纱窗
agaric,木耳,25,http://fitness.39.net/food/12049.html
cellular telephone,蜂窝电话
nipple,乳头
barbell,杠铃
mailbox,邮箱
lab coat,实验室外套
fire screen,火屏
minibus,小巴
packet,小包裹
maze,迷宫
pole,极
horizontal bar,单杠
sombrero,宽边帽
pickelhaube,尖顶头盔
rain barrel,雨桶
wallet,钱包
cassette player,磁带播放器
comic book,漫画书
piggy bank,扑满
street sign,街道标志
bell cote,贝尔科特
fountain pen,钢笔
Windsor tie,温莎领带
volleyball,排球
overskirt,罩裙
sarong,纱笼
purse,钱包
bolo tie,波洛领带
bib,围兜
parachute,降落伞
sleeping bag,睡袋
television,电视
swimming trunks,游泳裤
measuring cup,测量杯
espresso,意大利浓咖啡
pizza,披萨
breastplate,胸甲
shopping basket,购物篮
wooden spoon,木勺子
saltshaker,盐瓶
chocolate sauce,巧克力酱,526.0,http://fitness.39.net/food/394.html
ballplayer,棒球手
goblet,高脚杯
gyromitra,鹿花菌属
stretcher,担架
water bottle,一瓶水
dial telephone,拨打电话
soap dispenser,皂液器
jersey,泽西
school bus,校车
jigsaw puzzle,拼图游戏
plastic bag,塑料袋
reflex camera,反射式照相机
diaper,尿布
Band Aid,创可贴
ice lolly,冰棍
velvet,天鹅绒
tennis ball,网球
gasmask,防毒面具
doormat,门垫
Loafer,游手好闲的人
ice cream,冰淇淋,127.0,http://fitness.39.net/food/19199.html
pretzel,椒盐脆饼,519.0,http://fitness.39.net/food/19342.html
quilt,被子
maillot,但
tape player,磁带播放器
clog,堵塞
iPod,iPod
bolete,牛肝菌
scuba diver,潜水员
pitcher,投掷者
matchstick,火柴
bikini,比基尼
sock,短袜
CD player,CD播放器
lens cap,镜头盖
thatch,茅草
vault,拱顶
beaker,烧杯
bubble,气泡
cheeseburger,芝士汉堡,239.0,http://fitness.39.net/cook/15660.html
parallel bars,双杠
flagpole,旗杆
coffee mug,咖啡杯
rubber eraser,橡皮
stole,偷
carbonara,培根,692.0,http://fitness.39.net/food/2762.html
dumbbell,哑铃
